generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Ceftibuten,General,0.0,999.0,5.0,29.0,100.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.006944444444444444,0.0
Ceftriaxone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefuroxime,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefuroxime,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.034722222222222224,0.0
Cefuroxime,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.052083333333333336,0.0
Cefuroxime,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.10416666666666667,0.0
Cefuroxime,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.08542713567839195,0.3125,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.034722222222222224,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.052083333333333336,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.10416666666666667,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.08542713567839195,0.3125,0.0
Cephalexin,General,0.0,999.0,30.0,59.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.05527638190954774,0.06944444444444445,0.0
Cephalexin,General,0.0,999.0,15.0,29.0,750.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.21428571428571427,0.02512562814070352,0.052083333333333336,0.0
Cephalexin,General,0.0,999.0,5.0,14.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.010050251256281407,0.017361111111111112,0.0
Cephalexin,General,0.0,999.0,1.0,4.0,125.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.014285714285714285,0.0,0.008680555555555556,0.0
Cephradine,General,0.0,999.0,21.0,999.0,2000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.3,1.0,0.1388888888888889,0.0
Cephradine,General,0.0,999.0,5.0,20.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.016080402010050253,0.06944444444444445,0.0
Cephradine,General,0.0,999.0,0.0,4.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.0,0.034722222222222224,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.034722222222222224,0.0
Ciprofloxacin,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04623115577889447,0.06944444444444445,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.034722222222222224,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04623115577889447,0.06944444444444445,0.0
Clarithromycin,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.034722222222222224,0.0
Clindamycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Dapsone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Dicloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
